name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
Gordon Hayward,2010,33.5,37,682.9850746268658,74.02985074626866,85.97014925373134,278.2089552238806,47.76119402985074,35.820895522388064,101.49253731343285
Kemba Walker,2011,37.6,41,1026.5957446808509,195.74468085106383,56.38297872340425,180.85106382978722,81.91489361702126,7.446808510638298,98.93617021276596
Andre Drummond,2012,28.4,34,478.87323943661977,21.126760563380284,160.56338028169017,201.40845070422534,39.436619718309856,129.5774647887324,73.2394366197183
Frank Kaminsky,2015,33.6,39,871.4285714285713,122.6190476190476,69.04761904761904,311.9047619047619,39.285714285714285,67.85714285714286,75.0
Trey Burke,2013,35.4,38,797.7401129943503,284.7457627118644,22.598870056497177,115.25423728813561,68.92655367231639,22.598870056497177,91.52542372881356
Noah Vonleh,2014,26.5,30,510.188679245283,27.169811320754715,107.16981132075472,298.8679245283019,39.24528301886792,61.88679245283019,96.60377358490565
Jakob Poeltl,2016,30.6,35,790.8496732026144,87.58169934640522,129.41176470588235,284.96732026143786,27.450980392156865,69.28104575163398,91.5032679738562
"Dennis Smith, Jr.",2017,34.8,32,666.6666666666667,226.4367816091954,29.88505747126437,137.93103448275863,71.26436781609196,16.091954022988507,124.13793103448278
Rui Hachimura,2019,30.2,37,965.5629139072847,75.49668874172185,67.54966887417218,249.0066225165563,46.35761589403973,35.76158940397351,90.06622516556291
Davion Mitchell,2021,32.5,30,519.3846153846154,203.07692307692307,17.230769230769234,81.23076923076923,70.15384615384616,13.53846153846154,89.84615384615384
Kevin Knox,2018,32.4,37,713.5802469135803,65.4320987654321,40.74074074074075,206.17283950617286,38.27160493827161,12.34567901234568,104.93827160493828
Zach Edey,2024,32.0,39,1228.75,98.75,226.25,366.25,13.75,105.0,112.5
Jeremy Sochan,2022,25.1,30,441.4342629482071,84.4621513944223,94.0239043824701,210.35856573705178,60.55776892430279,33.46613545816733,74.90039840637449
Taylor Hendricks,2023,34.6,34,595.3757225433526,53.179190751445084,92.48554913294797,181.5028901734104,35.838150289017335,65.89595375722543,55.49132947976879
Collin Murray-Boyles,2025,30.6,32,703.2679738562091,100.65359477124183,92.81045751633985,252.2875816993464,61.43790849673202,56.209150326797385,101.96078431372548
Jimmer Fredette,2011,36.1,36,1168.9750692520774,171.74515235457062,25.48476454293629,114.12742382271468,53.18559556786703,1.10803324099723,144.04432132963987
Paul George,2010,33.2,28,563.8554216867469,103.6144578313253,65.06024096385542,178.31325301204816,72.28915662650601,28.915662650602407,107.22891566265059
C.J. McCollum,2013,31.0,12,370.3225806451613,45.16129032258065,15.483870967741936,61.935483870967744,21.93548387096774,5.161290322580645,41.29032258064516
Austin Rivers,2012,33.2,34,634.9397590361446,85.54216867469879,25.301204819277107,113.25301204819276,39.75903614457831,1.2048192771084336,95.18072289156626
Elfrid Payton,2014,36.9,32,671.0027100271003,199.45799457994582,84.55284552845528,132.24932249322495,81.30081300813009,19.512195121951223,131.16531165311653
Justise Winslow,2015,29.1,39,676.2886597938144,112.7147766323024,67.35395189003437,279.0378006872852,71.47766323024055,46.73539518900343,97.59450171821305
Mikal Bridges,2018,32.2,40,877.0186335403725,95.65217391304347,67.0807453416149,196.27329192546583,75.77639751552795,53.41614906832298,67.0807453416149
Zach Collins,2017,17.2,39,906.9767441860465,37.2093023255814,153.48837209302326,381.3953488372093,41.86046511627907,160.46511627906978,139.53488372093022
Jalen Smith,2020,31.2,31,614.1025641025641,32.05128205128205,126.92307692307693,291.025641025641,28.205128205128208,93.58974358974359,67.94871794871794
Cam Reddish,2019,29.7,36,653.1986531986531,94.27609427609427,26.936026936026938,152.1885521885522,75.42087542087542,28.282828282828284,129.2929292929293
Ziaire Williams,2021,27.9,20,306.8100358422939,63.08243727598566,14.336917562724015,116.12903225806451,24.37275985663082,15.770609318996415,83.15412186379929
Johnny Davis,2022,34.2,31,715.7894736842104,76.0233918128655,47.953216374269005,250.2923976608187,42.10526315789473,26.900584795321635,83.04093567251462
Cason Wallace,2023,32.1,32,467.28971962616816,169.47040498442365,37.38317757009346,110.90342679127727,78.50467289719626,18.69158878504673,83.48909657320873
Cody Williams,2024,28.1,24,407.1174377224199,54.09252669039145,24.199288256227756,78.29181494661921,21.352313167259783,22.77580071174377,68.32740213523131
Khaman Maluach,2025,21.2,39,632.0754716981132,37.735849056603776,201.8867924528302,283.0188679245283,15.09433962264151,96.22641509433963,56.60377358490567
Cole Aldrich,2010,26.8,36,605.9701492537313,46.26865671641791,164.17910447761193,364.17910447761193,40.298507462686565,186.56716417910448,83.5820895522388
