name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
Tyler Tanner,,2026,186,218,60,163,108,68,43,70,17,1,15,116,184,86,12,702,36,72,,33.5,20.0,68,7.8,14.7,0,,,,,2109,452,0.640604467805519,2.7058823529411766,0.8532110091743119,0.36809815950920244,0.6136363636363636,0.09659090909090909,PG
Bennett Stirtz,,2026,140,165,92,257,87,40,61,69,11,1,10,88,163,51,9,734,37,76,,37.7,22.3,68,6.8,12.8,0,,,,,2186,514,0.6256392771905899,2.3970588235294117,0.8484848484848485,0.35797665369649806,0.6850393700787402,0.08661417322834646,SG
Flory Bidunga,,2026,70,107,0,2,80,49,35,55,82,5,106,208,52,26,91,464,35,81,97.4,31.6,20.7,54,9.7,13.3,1,,,,,1884,221,0.8654133094598628,0.9629629629629629,0.6542056074766355,0.0,0.6201550387596899,0.6356589147286822,PF
Allen Graves,,2026,84,112,37,91,55,42,29,36,21,2,95,126,61,65,32,400,34,81,,22.6,20.3,24,4.1,10.6,0,,,,,1341,253,0.6616382162233692,2.5416666666666665,0.75,0.4065934065934066,0.5670103092783505,0.21649484536082475,SF
Koa Peat,,2026,101,162,7,20,87,59,53,105,53,2,77,126,93,23,25,508,36,80,98.6,27.8,19.0,58,8.0,21.2,0,,,,,1801,324,0.6425824731835661,1.603448275862069,0.6234567901234568,0.35,0.5958904109589042,0.363013698630137,PF
Brayden Burries,,2026,136,169,70,179,74,48,49,60,17,1,21,170,95,59,8,626,39,76,98.2,29.8,20.4,57,8.3,21.2,0,,,,,2073,410,0.646213560161863,1.6666666666666667,0.8047337278106509,0.39106145251396646,0.6065573770491803,0.13934426229508196,SG
Caleb Wilson,,2026,129,181,7,27,48,34,48,60,67,10,68,158,64,36,33,476,24,82,99.2,31.3,19.5,47,5.7,12.0,0,,,,,1299,217,0.8023193096008631,1.3617021276595744,0.712707182320442,0.25925925925925924,0.5853658536585366,0.8170731707317073,PF
Chris Cenac Jr,,2026,36,58,30,90,20,15,58,76,35,1,83,208,27,28,18,352,37,83,99.0,24.8,19.0,33,7.9,19.5,0,,,,,1486,259,0.6185856881765781,0.8181818181818182,0.6206896551724138,0.3333333333333333,0.5714285714285714,1.0,PF
Kingston Flemings,,2026,109,129,41,106,84,69,86,108,11,2,19,131,192,56,12,594,37,76,96.8,31.7,19.1,66,7.8,19.5,0,,,,,1898,453,0.5826271186440678,2.909090909090909,0.8449612403100775,0.3867924528301887,0.5490196078431373,0.0718954248366013,SF
Dame Sarr,,2026,33,62,43,133,20,26,4,6,17,2,30,115,42,37,14,244,38,80,94.2,23.5,19.7,40,8.2,22.6,1,,,,,1482,189,0.5640835953393749,1.05,0.532258064516129,0.3233082706766917,0.43478260869565216,0.3695652173913043,SF
Meleek Thomas,,2026,91,108,82,197,66,46,52,101,3,2,33,109,92,57,7,579,37,77,98.0,30.5,19.5,37,8.1,13.7,0,,,,,2051,462,0.5681818181818182,2.4864864864864864,0.8425925925925926,0.41624365482233505,0.5892857142857143,0.026785714285714284,SG
Darryn Peterson,,2026,109,132,63,165,31,24,53,71,9,3,17,84,38,34,15,484,24,77,99.8,29.0,19.1,38,9.8,13.3,0,,,,,1196,344,0.6018702745722244,1.0,0.8257575757575758,0.38181818181818183,0.5636363636363636,0.16363636363636364,SG
